,year,gjennomsnitt
1,1979,336.85
2,1980,338.91
3,1981,340.11
4,1982,340.86
5,1983,342.53
6,1984,344.07
7,1985,345.54
8,1986,346.97
9,1987,348.68
10,1988,351.16
11,1989,352.78
12,1990,354.05
13,1991,355.39
14,1992,356.1
15,1993,356.84
16,1994,358.33
17,1995,360.18
18,1996,361.93
19,1997,363.05
20,1998,365.7
21,1999,367.8
22,2000,368.97
23,2001,370.57
24,2002,372.59
25,2003,375.15
26,2004,376.95
27,2005,378.97
28,2006,381.14
29,2007,382.9
30,2008,385.02
31,2009,386.5
32,2010,388.76
33,2011,390.63
34,2012,392.65
35,2013,395.39
36,2014,397.34
37,2015,399.65
38,2016,403.09
39,2017,405.22
40,2018,407.61
41,2019,410.07
42,2020,412.44
43,2021,414.71
44,2022,417.06
